,Parti,Spørger,Dato
477,DF,Bente Kronborg Holst ,72
478,V,Kasper Krüger ,72
479,KF,Connie Hedegaard ,72
480,V,fg. ,72
481,V,Søren Gade ,72
482,V,Thor Pedersen ,72
483,V,Niels Høiby ,72
484,DF,DF ,72
485,S,Anna Kirsten Olesen ,72
486,V,Jens Arne Hedegaard ,72
487,RV,Nadeem Farooq ,72
488,SF,Ida Damborg ,72
489,S,Jacob Bjerregaard ,72
490,RV,Jeppe Mikkelsen ,72
491,SF,Thor Möger Pedersen ,72
492,RV,Hans Vestager ,72
493,S,Bjarne Corydon ,72
494,S,Ane Halsboe-Larsen ,72
495,KF,Mai Henriksen ,72
496,RV,Marlene B. Lorentzen ,72
497,RV,Camilla Hersom ,72
498,RV,Christian Friis Bach ,72
499,RV,Lone Loklindt ,72
500,S,Anne Sina ,72
501,RV,Mie Bergmann ,72
502,SF,Mette Boye ,72
503,SF,Karen Touborg ,72
504,RV,Linda Kristiansen ,72
505,LA,Kisser Franciska Lehnert ,72
506,ALT,Pernille Boye Koch ,72
507,SF,Annika Smith ,72
508,RV,Sanne Bjørn ,72
509,S,Peder Christensen ,72
510,S,Rasmus Lynghøj ,72
511,ALT,Ulla Sandbæk ,72
512,V,Jørn Neergaard Larsen ,72
513,KF,Rasmus Jarlov (KF) ,72
514,V, fg. ,72
